Song,Film,Year
Sun Lo Sunaata Hoon (Re Mama Re),Andaz,1971.0
Sa Re Ga Ma Pa,Abhinetri,1970.0
Saajan Jee Ghar Aaye,Kuch Kuch Hota Hai,1998.0
Saala Main To Saahab Ban Gaya,Sagina,1974.0
Saamne Ye Kaun Aaaya Dil Me Hui Hulchal,Jawani Diwani,1972.0
Saancha Naam Tera,Julie,1975.0
Saanchi Kahe Tore Aavan Se Hamre,Nadiya Ke Paar,1982.0
Saanwla Rang Hai Mera,Raampur Ka Lakshman,1972.0
Saare Shehar Me Aap Sa Koyi Nahi,Bairaag,1976.0
Saath Baras Ka Dulha,Dosti Dushmani,1986.0
Saath Kya Nibhaoge,Non Filmy (Remake),2021.0
Saathiyaan Nahi Jaana Ke Jee Na Lage,Aya Sawan Jhoom Ke,1969.0
Saawan Ka Mahina Pawan Kare Shor,Milan,1967.0
Sab Se Bada Nadaan Wahi Hai,Pehchan,1970.0
Safal Hogi Teri Aradhana,Aradhana,1969.0
Saiyyan Jhoothon Ka Bada Sartaaj Nikla,Do Ankhen Barah Haath,1957.0
Sajan Re Jhoot Mat Bolo,Teesri Kasam,1966.0
Sakhiyaan 2.0,Bell Bottom,2021.0
Samaa Hai Suhaana Suhaana,Ghar Ghar Ki Kahani,1970.0
Samjhauta Ghamon Se Kar Lo,Samjhauta,1973.0
Sandhya Jo Aaye Man Ud Jaaye,Phagun,1973.0
Sanson Se Nahin Kadmon Se Nahin,Mohabbat,1985.0
Sar Se Sar Ke Sar Ke Chunariya,Kabhi Kabhie,1981.0
Saara Zamaana Haseeno Ka Deewana,Yaarana,1981.0
Sasaar Ki Har Shay Ka,Dhund,1973.0
Sauda Khara Khara (Remake),Good Newwz,2019.0
Shaava Shaava,Kabhi Khushi Kabhie Gham,2001.0
Seeti Maar,Radhe,2021.0
Shaadi Ke Liye Rajamand Kar Li,Devi,1970.0
Sharaafat Chhod Di Maine,Sharafat,1970.0
Sheeshi Bhari Gulaab Ki,Jeet,1972.0
Shehnaayi Baje Na Baje,Shor,1972.0
Shiddat (Title Song),Shiddat,2021.0
Shirdi Wale Sai Baba,Amar Akbar Anthony,1977.0
Shokhiyon Me Ghola Jaaye Phoolo Ka Shabaab,Prem Pujari,1970.0
Shor Mach Gaya Shor Dekho Aaya Maakhan Chor,Badla,1974.0
Shor Machega,Mumbai Saga,2021.0
Shukar Manavaan,Velle,2021.0
Silsila Shuru Hua Pyar Ka,Dulaara,1994.0
Siyapati Ramchandra,Bhavai,2021.0
Slow Slow,Non Filmy,2021.0
So Gaya Ye Jahaan (Remake),Bypass Road,2019.0
Soch Liya,Radhe Shyam,2022.0
Sochenge Tumhe Pyar Kare Ke Nahi,Deewana,1992.0
Sohni Meri Sohni Sohni,Sohni Mahiwal,1984.0
Solah Baras Ki Baali Umar Ko Salaam,Ek Duuje Ke Liye,1981.0
Solah Baras Ki Baali Umar Ko Salaam,Ek Duuje Ke Liye,1981.0
Sona Lai Ja Re,Mera Gaon Mera Desh,1971.0
Sooni Sooni Saans Ke Sitaar,Laal Patthar,1971.0
Subah Se Le Kar Shaam Tak,Mohra,1994.0
Suhaana Safar Aur Ye Mausam Haseen,Madhumati,1958.0
Sun Baal Brahamchaari Main Hoon Kanya Kunwaari,Sanyasi,1975.0
Sun Champa Sun Taara,Apna Desh,1972.0
Sun Ja Aa Thandi Hawa,Haathi Mere Saathi,1971.0
Sun Ri Pawan Pawan Purawaiyya,Anuraag,1972.0
Suna Hai (Female Version),Sanak,2021.0
Suna Hai,Sanak,2021.0
Suno Kaho Kaha Suna,Aap Ki Kasam,1974.0
Suno Sajna Papihe Ne,Aaye Din Bahar Ke,1966.0
Sunta Hai Mera Khuda,Pukar,2000.0
Sur Na Saje Kya Gaoon Main,Basant Bahar,1956.0
Suraj Hua Maddham,Kabhi Khushi Kabhie Gham,2001.0
Surkh Jode Ki (Saada Chidiyaan Da),Kabhi Kabhie,1976.0
Taal Se Taal Mila,Taal,1999.0
Tera Chehra,Intezaar: Koi Aane Ko Hai,2021.0
Tujhe Dekha To Ye Jaana Sanam,Dilwale Dulhania Le Jayenge,1995.0
Thehar Zara O Jaane Waale,Boot Polish,1954.0
Tu Nahi To Main Nahi,Hungama 2,2021.0
Tum Se Door Reh Ke,Adalat,1976.0
Taaki O Taaki,Himmatwala,1983.0
Taaqat Watan Ki Hum Se Hai,Prem Pujari,1970.0
Taare Taare Kitne Neel Gagan Pe Taare,Aap Aaye Bahar Aayee,1971.0
Taaron Me Saj Ke,Jal Bin Machhli Nritya Bin Bijli,1971.0
Tabaah Ho Gaye,Kalank,2019.0
Tadap Tadap Ke,Hum Dil De Chuke Sanam,1999.0
Tak Dhin Dhin Tak,Sadak,1991.0
Tan Man Dhan Sab Hai Tera,Manchali,1973.0
Tanhayee,Dil Chahta Hai,2001.0
Tasveer Banata Hoon Tasveer Nahi Banti,Bara-Dari,1955.0
Tattoo Waaliye,Bunty Aur Babli 2,2021.0
Tauba Tauba Kya Hoga Hona Hai Jo,Mr. Natwarlal,1979.0
Tauba Ye Matwali Chaal,Patthar Ke Sanam,1967.0
Tayyab Ali Pyar Ka Dushman,Amar Akbar Anthony,1977.0
Teeja,Bob Biswas,2021.0
Tenu Lehenga,Satyameva Jayate 2,2021.0
Tera Beemar Mera Dil,ChaalBaaz,1989.0
Tera Ishq Satave,Shakeela,2020.0
Tera Jaan Dil Ke Armaano Ka Lut Jaana,Anari,1959.0
Tere Mere Mera Tera,Nagin,1976.0
Tera Peechha Na Main Chhodunga,Jugnu,1973.0
Tera Phoolon Jaisa Rang,Kabhi Kabhie,1976.0
Tera Saath Hai Kitna Pyaara,Janbaaz,1986.0
Tere Ang Ka Rang Hai Angoori,Chanda Aur Bijli,1969.0
Tere Bina Aag Ye Chaandni Tu Aa Ja,Awaara,1951.0
Tere Bina Zindagi Se Koyi,Aandhi,1975.0
Tere Chehre Me Wo Jaadoo Hai,Dharmatma,1975.0
Tere Chehre Se Nazar Nahin,Kabhi Kabhie,1976.0
Lyrics Tere Dar Par Sanam (Male Version),Phir Teri Kahani Yaad Aayee,1993.0
Tere Dar Pe Aaya Hoon,Laila Majnu,1976.0
Tere Dard Se Dil Aabad Raha,Deewana,1992.0
Tere Dil Ki Tu Jaane Main Apne Dil Ki Jaanoon,Naam,1986.0
Tere Ishq Ka Mujh Pe Hua Ye Asar Hai,Nagin,1976.0
Tere Jaisa Yaar Kahaan,Yaarana,1981.0
Tere Kaaran Mere Saajan,Aan Milo Sajna,1970.0
Tere Kooche Me Tera Deewana,Heer Ranjha,1970.0
Tere Mere Beech Me Kaisa Hai Ye Bandhan,Ek Duuje Ke Liye,1981.0
Tere Mere Milan Ki Ye Raina,Abhimaan,1973.0
Tere Mere Yaraane Ho,Nagin,1976.0
Tere Naino Ke Main Deep Jalaunga,Anuraag,1972.0
Tere Pyar Ka Aasra Chaahta Hoon,Dhool Ka Phool,1959.0
Tere Sang Pyar Main Nahi Todna,Nagin,1976.0
Tere Sang Pyar Main Nahi Todna,Nagin,1976.0
Tere Siva Jag Mein,Tadap,2021.0
Teri Aankhon Me,Thalaivii,2021.0
Teri Bindiya Re,Abhimaan,1973.0
Teri Isi Ada Pe Sanam,Deewana,1992.0
Teri Meri Kahaani,Happy Hardy and Heer,2020.0
Teri Paayaliya,Deewana,1992.0
Teri Pyaari Pyaari Soorat Ko,Sasural,1961.0
Teri Raahon Me Khade Hain Dil Thaam Ke,Chhalia,1960.0
Teri Umeed Tera Intzaar (Female Version),Deewana,1992.0
Teri Umeed Tera Intzaar,Deewana,1992.0
Terre Pyaar Mein,Non Filmy,2021.0
Thaade Rahiyo,Pakeezah,1972.0
Thandi Thandi Hawa Me Dil Lalchaaye,Prince,1969.0
Thokar Me Hai Meri Saara Zamaana,Shehzada,1972.0
Thum Thum Thumka,Pagalpanti,2019.0
Tik Tik Tik Tik Chalti Jaaye Ghadi,Kal Aaj Aur Kal,1971.0
Tip Tip Barsa Paani 2.0,Sooryavanshi,2021.0
Tip Tip Barsa Pani,Mohra,1994.0
Tip Tip Paani Barsa,Non Filmy,2021.0
Tip Tip,Sooryavanshi,2021.0
Toh main,Badnaam,2020.0
Toofaan Si Kudi,Atrangi Re,2021.0
Tu Auron Ki Kyoon Ho Gayi,Ek Bar Mooskura Do,1972.0
Tu Cheez Badi Hai Mast Mast,Mohra,1994.0
Tu Ganga Ki Mauj Main,Baiju Bawra,1952.0
Tu Hi Meri Shab Hai Subah Hai,Gangster,2006.0
Tu Husn Hai Main Ishq Hoon,Hamraaz,1967.0
Tu Jahaan Jahaan Chalega (Title Song),Mera Saaya,1966.0
Tu Kahe Agar Jeewan Bhar Main Geet Sunaata,Andaz,1949.0
Tu Kal Chala Chayega,Naam,1986.0
Tu Kitni Achhi Hai Tu Kitni Bholi Hai Maa,Raja Aur Runk,1968.0
Tu Mera Ho Gaya Hai,Tadap,2021.0
Tu Na Mili To Hum Jogi Ban Jaayenge,Viktoria No. 203,1972.0
Tu Pyar Hai Kisi Aur Ka,Dil Hai Ke Manta Nahin,1991.0
Tu Pyar Hai Mera,Badnaam,2020.0
Tu Raat Khadi Thi Chhat Pe,Himalay Ki God Mein,1965.0
Tu Shayar Hai Main Teri Shayari,Saajan,1991.0
Tu Toh Gaya Re,Bob Biswas,2021.0
Tujh Ko Mirchi Lagi To,Cooli No. 1,2020.0
Tujh Se Naaraz Nahi Zindagi (Female),Masoom,1983.0
Tujh Se Naaraz Nahi Zindagi (Male),Masoom,1983.0
Tujhe Bhoolna To Chaaha,Non Filmy,2021.0
Tujhe Kitna Chahne Lage,Kabir Singh,2019.0
Tujhe Yaad Na Meri Aayi,Kuch Kuch Hota Hai,1998.0
Tukda Tukda,Thalaivii,2021.0
Tum Aa Gaye Ho Noor Aa Gaya Hai,Aandhi,1975.0
Tum Aaoge,Bell Bottom,2021.0
Tum Agar Mujh Ko Na Chaaho To,Dil Hi To Hai,1963.0
Tum Agar Saath Dene Ka Waada Karo,Hamraaz,1967.0
Tum Bin Jeewan Kaisa Jeewan,Bawarchi,1972.0
Tum Ho Haseen Wafa Tum Ko,Apradh,1972.0
Tum Jaano Ya Hum Jaane,Kalicharan,1976.0
Tum Ko Bhi To Ais Hi Kuchh Hota Hoga,Aap Aaye Bahar Aayee,1971.0
Tum Ko Dekha To Ye Khayal Aaya,Saath Saath,1982.0
Tum ko Piya Dil Diya Kitne Naaz Se,Shikari,1963.0
Tum Mile Pyar Se Mujhe Jeena Ganwaara Hua,Apradh,1972.0
Tum Mujh Se Door Chale Jaana Na,Ishq Par Zor Nahin,1970.0
Tum Ne Kisi Se Kabhi Pyar Kiya Hai,Dharmatma,1975.0
Tum Par Hum Hai Atke Yaara (Remake),Pagalpanti,2019.0
Tum Par Hum Hai Atke Yaara,Pagalpanti,2019.0
Tum Pukar Lo,Khamoshi,1969.0
Tum Se Bhi Zyada,Tadap,2021.0
Tum Se Mil Kar Na Jaane Kyon,Pyar Jhukta Nahi,1985.0
Tum Se Milne Ki Tamanna Hai,Saajan,1991.0
Tum To Dhokhebaaz Ho,Saajan Chale Sasural,1996.0
Tum To There Pardesi,Non Filmy,2012.0
Tumbe Te Zumba,Chandigarh Kare Aashiqui,2021.0
Tumhaari Bhi Jai Jai (Female),Diwana,1967.0
Tumhaari Bhi Jai Jai,Diwana,1967.0
Tumhaare Siwa Kuchh Na Chaahat Karenge,Tum Bin,2001.0
Tumhe Apna Banaane Ki Kasam Khaayi Hai,Sadak,1991.0
Tumhi Mere Mandir,Khandan,1965.0
Tumhin Se Tumhin Ko Chura Lenge Hum,Dulaara,1994.0
Tum Se Achha Kaun hai,Janwar,1965.0
Tune O Rangeele Kaisa Jaadu Kiya,Kudrat,1981.0
Twinkle Twinkle Little Star,Purab Aur Pachhim,1970.0
Toote Hue Khwaabon Ne,Madhumati,1958.0
Lyrics Tere Dar Par Sanam (Female Version),Phir Teri Kahani Yaad Aayee,1993.0
Uddne Do,Velle,2021.0
Uden Jab Jab Zulfen Teri,Naya Daur,1957.0
Uljhan Suljhe Na Rasta Soojhe Na,Dhund,1973.0
Un Ko Ye Shikayat Hai Ke Hum Kuchh Nahi Kahte,Adalat,1958.0
Uper Waale Tera Jawaab Nahin,Avtaar,1983.0
Us Paar Saajan Is Paar Dhaare,Chori Chori,1956.0
Uthaaye Ja Un Ke Sitam,Andaz,1949.0
Udd Jaa Parindey,Radhe Shyam,2022.0
Udd Chaliyaan,Velle,2021.0
Vaada Tere Vaada,Dushman,1971.0
Veriya Ve Kiya Kya Kusoor Maine Tere Ve,Naam,1986.0
Vande Matram-Tiger Shroff,Non Filmy,2021.0
Vedha Sajjeya,Hum Do Hamare Do,2021.0
Vighnaharta,Antim: The Final Truth,2021.0
Wo Ladki Hai Kahaan,Dil Chahta Hai,2001.0
Will You Marry Me,Mard,1985.0
Wo Shaam Kuchh Ajeeb Thi,Khamoshi,1969.0
Wo Chaand Khila Wo Taare Hanse,Anari,1959.0
Wo Pari Kahaan Se Laoon,Pehchan,1970.0
Waqt Se Din Aur Raat,Waqt,1965.0
Waada Kar Le Saajna,Haath Ki Safai,1974.0
,,
,,
,,
,,
Yaai Re Yaai Re Jor Laga Ke Naacho Re,Rangeela,1995.0
Yahaan Wahaan Saare Jahaan Me Tera Raaj Hai,Aan Milo Sajna,1970.0
Yaara O Yaara Ishq Ne Maara,Benaam,1974.0
Ye Waqt Na Kho Jaaye Bas Aaj Ye Ho Jaaye,Raaste pyar Ke,1982.0
Ya Ali Madad Ali,Gangster,2006.0
Yaad Aa Rahi Hai,Love Story,1981.0
Yaadon Ki Baraat Nikli Hai Aaj,Yaadon Ki Baaraat,1973.0
Yaane Yaane,Mimi,2021.0
Yaar Bina Chain Kahaan Re,Saaheb,1985.0
Yaar Hamaari Baat Suno,Roti,1974.0
Yaari Hai Imaan Mera,Zanjeer,1973.0
Yaari Ho Gayi Yaar Se Lak Tunu Tunu,Do Chor,1972.0
Yaaron Hum Ko Dekh Ke,Dosti Dushmani,1986.0
Yaaron Ka Bulaava,Velle,2021.0
Yaaron Sun Lo Zara,Rangeela,1995.0
Yahaan Pe Sab Shanti Shanti Hai,Raaz,2002.0
Yahaan Main Ajnabi Hoon,Jab Jab Phool Khile,1965.0
Yahin Kahin Jiyra Hamaar Ae Goriya Gum Hoi Gawa Re,Khudgarz,1987.0
Yamma Yamma,Shaan,1980.0
Yashoda Ka Nand Laala,Sanjog,1985.0
Ye Aansoo Mere Dil Ki Zubaan Hain,Hamrahi,1963.0
Ye Bandhan Toh,Karan Arjun,1995.0
Ye Deewane Ki Zind Hai,Laila Majnu,1976.0
Ye Desh Hai Veer Jawaano Ka,Naya Daur,1957.0
Ye Dil Aur Un Ki Nigaahone Ke Saaye,Prem Parbat,1973.0
Ye Dil Deewana Hai Dil To Deewana Hai,Ishq Par Zor Nahin,1970.0
Ye Din To Aata Hai Ik Din Jawaani Me,Mahaan,1983.0
Ye Dosti Hum Nahi Todenge,Sholay,1975.0
Ye Duniya Ye Mehfil,Heer Ranjha,1972.0
Ye Hai Geeta Ka Gyan,Sanyasi,1975.0
Ye Jeewan hai Is Jeewan Ka,Piya Ka Ghar,1972.0
Ye Jo Chilman Hai,Mehboob Ki Mehndi,1971.0
Ye Jo Mohabbat Hai Ye Un Ka Hai Kaam,Kati Patang,1971.0
Ye Jo Public Hai Ye Sab Jaanti Hai,Roti,1974.0
Ye Kahaan Aa Gaye Hum Yoon Hi Saath Saath Chalte,Silsila,1981.0
Ye Kali Jab Tak Phool Ban Ke Khile,Aaye Din Bahar Ke,1966.0
Ye Kya Hua Kaise Hua Kab Hua,Amar Prem,1972.0
Ye Ladka Hai Allah,Kabhi Khushi Kabhie Gham,2001.0
Ye Ladka Hai Deewana,Kuch Kuch Hota Hai,1998.0
Ye Ladki Hai Ya Shola,Silsila,1981.0
Ye Lo Main Haari Piya,Aar Paar,1954.0
Ye Mera Deewanapan Hai,Yahudi,1958.0
Ye Raaten Nayi Puraani,Julie,1975.0
Ye Reshmi Zulfen Ye Sharbati Aankhen,Do Raaste,1969.0
Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,1965.0
Ye Shaam Ki Tanhiyaan Aise Me Tera Gham,Aah,1953.0
Ye Shaam Mastani Madhosh Kiye Jaaye,Kati Patang,1971.0
Ye Shamaa To Jali Roshni Ke Liye,Aya Sawan Jhoom Ke,1969.0
Ye Tera Ghar Ye Mera Ghar Kisi Ko Dekhna Ho Gar,Saath Saath,1982.0
Ye Zindagi Usi Ki Hai,Anarkali,1953.0
Yeh Laal Rang Kab Mujhe Chhodega,Prem Nagar,1974.0
Yoon Hasraton Ke Daag Mohabbat Me Dho Liye,Adalat,1958.0
Yoon Hi Tum Mujh Se Baat Karti Ho,Sachaa Jhutha,1970.0
You Are My Soniya,Kabhi Khushi Kabhie Gham,2001.0
Zaalima Coca Cola,Bhuj: The Pride Of India-2021,2021.0
Zamaane Ke Dekhe Hain Rang Hazaar,Sadak,1991.0
Zara Sa Jhoom Loon Main,Dilwale Dulhania Le Jayenge,1995.0
Zara Sa Us Ko Chhua To,Shor,1972.0
Zidd,Rashmi Rocket,2021.0
Zinda Rahenge Chehre,Chehre,2021.0
Zindagi Ek Safar Hai Suhaana,Andaz,1971.0
Zindagi Ittefaq Hai,Aadmi Aur Insaan,1969.0
Zindagi Ka Naam Dosti,Khudgarz,1987.0
Zindagi Ka Safar Hai Ye Kaisa Safar,Safar,1970.0
Zindagi Kaisi Hai Pahli Haye,Anand,1971.0
Zindagi Ke Rang Kayi Re,Aadmi Aur Insaan,1969.0
Zindagi Ke Safar Me Guzar Jaate Hain,Aap Ki Kasam,1974.0
Zindagi Mauz Udaane Ka Naam Hai,Avtaar,1983.0
Zindagi Pyar Ki Do Chaar Ghadi,Anarkali,1953.0
Zindagi Tere Naam,Rashmi Rocket,2021.0
Zindagi Pyar Ka Geet Hai (Male),Souten,1983.0
Zubaan Pe Dard Bhari,Maryada,1971.0
Zulmi Sang Aankh Ladi,Madhumati,1958.0
Zindagi Pyar Ka Geet Hai (Female),Souten,1983.0
Zindagi Ittefaq Hai (Duet),Aadmi Aur Insaan,1969.0
