Song,Film,Year
Dheere Dheere Bol Koyi Suna Na Le,Gora Aur Kala,1971.0
Dheere Se Jaana Khatiyan Me,Chhupa Rustam,1973.0
Dhik Chik,Bunty Aur Babli 2,2021.0
Dholi Taro Dhol Baaje,Hum Dil De Chuke Sanam,1999.0
Dhoom Mache Dhoom,Kaala Patthar,1979.0
Dhoom Tara,Bell Bottom,2021.0
Didi Tera Devar Deewana,Hum Aapke Hain Koun,1994.0
Dil Aisa Kisi Ne Mera Toda,Amanush,1975.0
Dil Apna Aur Preet Paraayi,Dil Apna Aur Preet Parai,1960.0
Dil Deta Hai Ro Ro Duhaayi,Phir Teri Kahani Yaad Aayee,1993.0
Dil Hai Ke Manta Nahin,Dil Hai Ke Manta Nahin,1991.0
Dil Hatheli,Barun Rai And The House On The Cliff,2022.0
Dil Ibaadat Kar Raha Hai,Tum Mile,2009.0
Dil Ka Haal Sune Dil Waala,Shree 420,1955.0
Dil Kahe Ruk Ja Re Ruk Ja,Man Ki Ankhen,1970.0
Dil Ke Jharokhe Me,Brahmachari,1968.0
Dil Ke Tukde Tukde Kar Ke,Dada,1979.0
Dil Ki Baaten Dil Hi Jaane,Roop Tera Mastana,1972.0
Dil Ki Kitab Kori Hai Kori Hi Rahne Do,Yaar Mera,1972.0
Dil Ki Nazar Se Nazron Ki Dil Se,Anari,1959.0
Dil Ko Dekho Chehra Na Dekho,Sachaa Jhutha,1970.0
Dil Kya Kare Jab Kisi Se,Julie,1975.0
Dil Maang Raha Hai Mohlat,Ghost,2019.0
Dil Me Sanam Ki Soorat,Phir Teri Kahani Yaad Aayee,1993.0
Dil Melt Melt Karda,Haseen Dullruba,2021.0
Dil Tadap Tadap Ke Kah Raha Hai,Madhumati,1958.0
Dil Tujh Pe Aa Gaya,Dil Hai Ke Manta Nahin,1991.0
Dil Use Do Jo Jaan De De,Andaz,1971.0
Dilbar Dil Se Pyaare,Caravan,1971.0
Dilbar Dilbar,Sirf Tum,1999.0
Dilbar Jaani Chali Hawa Mastaani,Haathi Mere Saathi,1971.0
Dilbar,Satyameva Jayate,2018.0
Dillagi Ne Di Hawa,Dostana,1980.0
Din Hai Bahaar Ke Tere Mere Ikraar Ke,Waqt,1965.0
Din Maheene Saal Guzarte Jaayenge,Avtaar,1983.0
Ding Dong O Baby Sing A Song,Hero,1983.0
Do Bechare Bina Sahaare,Victoria No. 203,1972.0
Do Deewane Shahar Me,Gharaonda,1977.0
Do Dil Toote Do Dil Haare,Heer Ranjha,1970.0
Do Din Ki Jawaani Me,Adalat,1976.0
Do Ghoont Mujhe Bhi Pila De Sharaabi,Jheel Ke Us Paar,1973.0
Do Naina Ik Kahaani,Masoom,1983.0
Do Rang Duniya Ke Aur Do Raaste,Do Raaste,1969.0
Do You Love Me,Baaghi 3,2020.0
Doli,Helmet,2021.0
Doobey,Gehraiyaan,2022.0
Doongi Tainu Reshmi Roomal,Prem Pujari,1970.0
Door Koyi Gaaye,Baiju Bawra,1952.0
Doston Se Pyar Kiya Dushmano Se,Shaan,1980.0
Duggi Wajdi,Happy Hardy and Heer,2020.0
Dulhan Maarwad Ki Naache Chham Chham,Anpadh,1962.0
Dum Maaro Dum,Hare Rama Hare Krishna,1971.0
Dum Maaro Dum (Remake),Dum Maaro Dum,2011.0
Duniya Ka Mela Mele Me Ladki,Raja Jani,1972.0
Duniya Me Hum Aaye Hai To,Mother India,1957.0
Duniya Me Logon Ko Dhokha Kabhi,Apna Desh,1972.0
Duniya Me Pyar Ki Sab Ko Jarurat Hai,Sachaa Jhutha,1970.0
Duniya Me Rehna Hai To,Haathi Mere Saathi,1971.0
